#,Display Name,YT Subscribers,Source,Type,Sells,Country,Cadence,Last Upload (days),Email,IG Account,YT Channel
68,Mind Pump Clips,56400,vlog/fitness,unclear,,United States,weekly,14,,,https://www.youtube.com/@MindPumpClips
69,Emily Enchanted,144000,travel,solo,,United States,biweekly,11,Email in YouTube Bio,https://www.instagram.com/emilynels8/?hl=en,https://www.youtube.com/@EmilyEnchanted
70,Adventures of Matt and Nat,145000,travel,solo,,United States,biweekly,10,Email in YouTube Bio,https://instagram.com/adventuresofmattandnat/,https://www.youtube.com/@AdventuresofMattandNat
71,Thinking with a Pump,145000,vlog/fitness,unclear,storefront,,biweekly,14,,,https://www.youtube.com/@ThinkingwithaPump
72,Anabolic Bodybuilding | Big Paul,52400,vlog/fitness,solo,,United States,weekly,3,Email in YouTube Bio,https://www.instagram.com/paulkbarnett/,https://www.youtube.com/@anabolicbodybuilding
73,Nicky Lyan,52300,vlog/fitness,solo,,United States,weekly,9,Email in YouTube Bio,https://www.instagram.com/nicky.lyan/?hl=en,https://www.youtube.com/@NICKYLYAN
74,Rachel Vinn,148000,vlog/fitness,solo,"storefront, own site",United States,weekly,0,Email in YouTube Bio,https://www.instagram.com/rach.vinn/,https://www.youtube.com/@RachelVinn
75,Mark Coles,50600,vlog/fitness,solo,,United Kingdom,weekly,3,Email in YouTube Bio,https://www.instagram.com/markjcoles/,https://www.youtube.com/@M10Fitness
76,Fergus Crawley,151000,vlog/fitness,solo,,United Kingdom,weekly,12,Email in YouTube Bio,https://www.instagram.com/ferguscrawley/,https://www.youtube.com/@ferguscrawley95
77,seerasan,152000,travel,solo,,Australia,biweekly,6,Email in YouTube Bio,https://www.instagram.com/seerasan/,https://www.youtube.com/@seerasan
78,lana ♡,152000,vlog/fitness,solo,,,biweekly,14,,,https://www.youtube.com/@lanaserenelife
79,Becky Mae,153000,vlog/fitness,unclear,"storefront, own site",United States,biweekly,6,,,https://www.youtube.com/@beckymaelee
80,Brogan Tate,154000,travel,solo,,United Kingdom,weekly,0,Email in YouTube Bio,https://instagram.com/brogantatexo,https://www.youtube.com/@brogantatexo
81,takechu,157000,vlog/fitness,solo,,,weekly,2,,https://www.instagram.com/takechu_u22?igsh=MTF3ZG1qd3psd3czZA==&utm_source=qr,https://www.youtube.com/@takechu22
82,Catalyst Athletics,157000,vlog/fitness,solo,,United States,biweekly,21,Email in YouTube Bio,https://www.instagram.com/catalystathletics,https://www.youtube.com/@CatalystAthletics
83,Adam Hattan,158000,travel,solo,,United Kingdom,biweekly,30,Email in YouTube Bio,http://www.instagram.com/adamhattan,https://www.youtube.com/@adamhattan
84,Brenda Anton,158000,vlog/fitness,unclear,,,biweekly,4,,,https://www.youtube.com/@brendaantonn
85,Ryan Walker,160000,travel,unclear,,United States,biweekly,2,Email in YouTube Bio,,https://www.youtube.com/@ryanwalkerT5
86,Ryguy v2,160000,vlog/fitness,unclear,,United States,biweekly,21,Email in YouTube Bio,,https://www.youtube.com/@Ryguyv2
87,LifeWithUsTV,161000,agency,business,,United States,weekly,12,Email in YouTube Bio,https://instagram.com/codefuntravels,https://www.youtube.com/@LifeWithUsTV
88,Dana Berez,162000,travel,solo,,United States,weekly,1,Email in YouTube Bio,https://www.instagram.com/danaberez,https://www.youtube.com/@DanaBerez
89,Jada Waters,162000,vlog/fitness,unclear,,,weekly,1,,,https://www.youtube.com/@valuejada
90,Amelie Desai,162000,vlog/fitness,solo,"storefront, own site",United States,weekly,0,Email in YouTube Bio,https://www.instagram.com/ameliedesai/,https://www.youtube.com/@ameliedesai
91,The Hawaii Vacation Guide,164000,travel,unclear,,United States,weekly,2,Email in YouTube Bio,"https://www.instagram.com/Welcome to our Hawaii adventures! We're Erica and Jordan and we've lived on Maui and Oahu. Now, with our son and daughter in tow, we continue learning as much as possible about traveling in Hawaii. We share everything we learn to help you plan your best trip to Hawaii. We share tips, activities, and reviews. Sustainable travel starts with building love and respect for the islands. We hope these videos spread that message. Mahalo for watching.

Website: https://thehawaiivacationguide.com/
Instagram: https://www.instagram.com/thehawaiivacationguide/",https://www.youtube.com/@TheHawaiiVacationGuide
92,Big Loz Official,168000,vlog/fitness,solo,own site,United Kingdom,weekly,5,Email in YouTube Bio,https://www.instagram.com/mrs_shahlaei/?hl=en,https://www.youtube.com/@BigLozOfficial
93,Molly Thompson,169000,travel,solo,,United Kingdom,weekly,5,Email in YouTube Bio,http://instagram.com/molly_thompson,https://www.youtube.com/@MollyThompsonx_
94,Mark Wiemels,169000,travel,solo,,United States,weekly,5,Email in YouTube Bio,https://www.instagram.com/markwiemels/,https://www.youtube.com/@markwiemels
95,Love Sundays,169000,vlog/fitness,solo,,United Kingdom,weekly,1,Email in YouTube Bio,https://www.instagram.com/lovesundays84/,https://www.youtube.com/@LoveSundays
96,Eat Sleep Cruise,170000,travel,solo,,United States,weekly,1,Email in YouTube Bio,https://instagram.com/eatsleepcruise,https://www.youtube.com/@Eatsleepcruise1
97,Lauren Nicholsen,174000,vlog/fitness,solo,community,United States,weekly,1,Email in YouTube Bio,https://www.instagram.com/mrslaurennicholsen/,https://www.youtube.com/@LaurenNicholsen
98,JTM_FIT,175000,vlog/fitness,solo,,United States,monthly,21,Email in YouTube Bio,,https://www.youtube.com/@jtm_fit
99,Nikki Gets Fit,177000,vlog/fitness,solo,,United States,weekly,1,Email in YouTube Bio,https://www.instagram.com/nikkigets_fit,https://www.youtube.com/@NikkiGetsFit
100,Family Freedom,179000,travel,solo,,United Kingdom,weekly,1,Email in YouTube Bio,https://www.instagram.com/familyfreedomvlogs/,https://www.youtube.com/@FamilyFreedom
101,Exotic Vacation,183000,travel,unclear,,United States,weekly,1,Email in YouTube Bio,,https://www.youtube.com/@ExoticVacation
102,Being Neiicey,186000,vlog/fitness,solo,,United States,monthly,4,Email in YouTube Bio,http://instagram.com/shaneicecrystal,https://www.youtube.com/@BeingNeiicey
103,The Hutchinsons,193000,travel,solo,,United Kingdom,biweekly,21,Email in YouTube Bio,https://www.instagram.com/thehutchinsonfamily/,https://www.youtube.com/@TheHutchinsons
104,TK Twins,197000,vlog/fitness,solo,,,biweekly,1,,https://www.instagram.com/tktwins__/,https://www.youtube.com/@TheTKTwins.
105,Happy to Wander (Travel Tips & Inspo),199000,travel,solo,,Canada,biweekly,4,Email in YouTube Bio,https://www.instagram.com/happytowander/,https://www.youtube.com/@HappytoWander
106,The Flip Flop Traveller,200000,travel,solo,,United States,weekly,2,Email in YouTube Bio,,https://www.youtube.com/@tfft
