#,Display Name,Email,YT Channel,YT Subscribers,Type,Sells,Niche,Country,Cadence,Last Upload (days),Uploads (90d),IG Account,IG Followers,Skool Community,Skool Link,# of Members,Status
72,The Bioneer,Email in YouTube Bio,https://www.youtube.com/@TheBioneer,958000,solo,,no,United Kingdom,weekly,3,12,http://instagram.com/tree_house_frog/,,,,,ok
73,Jess Yoga,Email in YouTube Bio,https://www.youtube.com/@JessicaRichburg,945000,solo,,no,United States,monthly,13,2,https://www.instagram.com/jessicarichburg,,,,,ok
74,Finatic,Email in YouTube Bio,https://www.youtube.com/@Finatic,944000,solo,,no,United States,weekly,1,20,https://www.instagram.com/finaticc,,,,,ok
75,trainer winny,Email in YouTube Bio,https://www.youtube.com/@trainerwinny,933000,solo,,no,,biweekly,2,8,https://www.instagram.com/trainerwinny,,,,,ok
76,Bedros Keuilian,Email in YouTube Bio,https://www.youtube.com/@BedrosKeuilian,871000,solo,,no,United States,weekly,1,30,https://www.instagram.com/bedroskeuilian/?hl=en,,,,,ok
77,Kenna Marie,Email in YouTube Bio,https://www.youtube.com/@KennaMarie,868000,solo,,no,United States,biweekly,14,7,https://www.instagram.com/mckennasalazar/,,,,,ok
78,Obi Vincent,Email in YouTube Bio,https://www.youtube.com/@ObiVincent,867000,solo,,no,United Kingdom,biweekly,1,7,https://www.instagram.com/obi_vincent/,,,,,ok
79,Alan Thrall (Untamed Strength),Email in YouTube Bio,https://www.youtube.com/@AlanThrall,848000,solo,,no,United States,monthly,14,2,https://www.instagram.com/untamedstrength/?hl=en,,,,,ok
80,Chelsea Trevor,Email in YouTube Bio,https://www.youtube.com/@ChelseaTrevor,837000,solo,,no,Canada,weekly,3,10,https://www.instagram.com/chelseatrevor/,,,,,ok
81,Joe Delaney,Email in YouTube Bio,https://www.youtube.com/@JoeDelaneyy,834000,solo,,no,United Kingdom,monthly,21,2,http://instagram.com/shredbundy,,,,,ok
82,lay luv,Email in YouTube Bio,https://www.youtube.com/@layluv,829000,solo,,no,United States,weekly,3,14,https://www.instagram.com/layla.l.acosta/,,,,,ok
83,Brix Glover,Email in YouTube Bio,https://www.youtube.com/@Brixglover,827000,solo,,no,United States,monthly,0,3,https://www.instagram.com/brixglover/,,,,,ok
84,Tara Henderson,Email in YouTube Bio,https://www.youtube.com/@tarahenderson,790000,solo,,no,United States,weekly,3,17,https://www.instagram.com/taralynnn/,,,,,ok
85,Garage Strength,Email in YouTube Bio,https://www.youtube.com/@GarageStrength,684000,solo,,no,United States,weekly,0,30,https://www.instagram.com/garagestrength/,,,,,ok
86,Casey Kelly,,https://www.youtube.com/@caseykellyfit,614000,solo,,no,United States,biweekly,2,6,,,,,,ok
87,Hussein,,https://www.youtube.com/@Hussein.fht1,611000,solo,,no,,monthly,14,3,https://www.instagram.com/hussein.fht/,,,,,ok
88,Lauren Kim,,https://www.youtube.com/@laurenkimofficial,587000,solo,,no,United States,weekly,10,13,https://www.instagram.com/laurenkkim0?igsh=bnd0NXZuNTB0bHEx&utm_source=qr,,,,,ok
89,Scott Burnhard,Email in YouTube Bio,https://www.youtube.com/@ScottBurnhard,568000,solo,,no,United States,weekly,14,23,https://instagram.com/scottburnhard/,,,,,ok
90,Goal Guys,Email in YouTube Bio,https://www.youtube.com/@GoalGuys,561000,solo,,no,Canada,monthly,1,2,https://instagram.com/goalguysinsta,,,,,ok
91,Kaleigh Cohen Strength,Email in YouTube Bio,https://www.youtube.com/@KaleighStrength,548000,solo,"membership, storefront, own site",no,United States,weekly,0,28,https://www.instagram.com/kaleighacohen,,,,,ok
92,Tom Beckles,Email in YouTube Bio,https://www.youtube.com/@TomBeckles,541000,solo,,no,,biweekly,14,5,https://www.instagram.com/becklesfitness/,,,,,ok
93,Yoga With Tim,Email in YouTube Bio,https://www.youtube.com/@yogawithtim,535000,solo,,no,United States,weekly,7,12,https://www.instagram.com/timsenesiyoga/,,,,,ok
94,millie liao,Email in YouTube Bio,https://www.youtube.com/@mildredsauce,534000,solo,,no,United States,biweekly,7,6,https://www.instagram.com/mildredsauce/,,,,,ok
95,Nate Murphy,Email in YouTube Bio,https://www.youtube.com/@NateMurphy,478000,solo,,yes,United Kingdom,biweekly,10,9,https://www.instagram.com/nate_murphy1/,,,,,ok
96,ava rae,Email in YouTube Bio,https://www.youtube.com/@avarae,477000,solo,,no,United States,biweekly,3,9,https://www.instagram.com/theavarae/,,,,,ok
97,Kisha Alejandra,Email in YouTube Bio,https://www.youtube.com/@KishaAlejandra,460000,solo,,no,Canada,weekly,13,10,http://www.instagram.com/kishaalejandra,,,,,ok
98,Loeppkys Life,Email in YouTube Bio,https://www.youtube.com/@LoeppkysLife,457000,solo,,no,Canada,weekly,10,11,https://www.instagram.com/loeppkyslife/,,,,,ok
